,books
0,Bereshit
1,Gen
2,Gen.
3,Breishit
4,Bereishit
5,Beresheet
6,Bereshith
7,Bereishis
8,B’resh.
9,B’reshith
10,Genesis
11,Exod.
12,Ex.
13,Exo
14,Shmot
15,Shemot
16,Ex
17,Exo.
18,Exod
19,Shemoth
20,Shemos
21,Exodus
22,Vayikra
23,Lev.
24,Lev
25,B’ḥuck.
26,B’ḥuḳḳothay
27,vaYikra
28,Leviticus
29,Num.
30,Num
31,Bamidbar
32,Bemidbar
33,Numeri
34,Numb.
35,Numbers
36,Deu.
37,Devarim
38,Deu
39,Deut.
40,Deut
41,Dvarim
42,Devorim
43,Deuter.
44,Debarim
45,Dev.
46,Deuteronomy
47,Jos
48,Yehoshua
49,Jos.
50,Josh
51,Josh.
52,Joshua
53,Shoftim
54,Jdg
55,Judg
56,Jdg.
57,Judg.
58,Jud.
59,Judices
60,Shofetim
61,Judges
62,I Sam.
63,1Sam.
64,First Samuel
65,Shmuel Aleph
66,1Sam
67,I Shmuel
68,Samuel I
69,Shmuel I
70,1 Samuel
71,I Sam
72,I Shemuel
73,Sam. I
74,1 Sam.
75,I. Samuel
76,I. Sam.
77,1 Sam
78,I Samuel
79,2Sam
80,Second Samuel
81,Shmuel Bet
82,Shmuel II
83,Samuel II
84,2 Sam
85,II Shmuel
86,II Sam.
87,II Sam
88,2Sam.
89,2 Samuel
90,II Shemuel
91,2 Sam.
92,II. Samuel
93,II. Sam.
94,Sam. II
95,II Samuel
96,I Melachim
97,Melachim Aleph
98,Kings I
99,Melachim I
100,1 Kings
101,First Kings
102,I Melakhim
103,Kin. I
104,I. Kings
105,1 Kgs.
106,I Kings
107,Melachim Bet
108,Melachim II
109,Second Kings
110,2 Kings
111,II Melachim
112,Kings II
113,II Melakhim
114,Kin. II
115,II. Kings
116,2 Kgs.
117,II Kings
118,Isa.
119,Yishayahu
120,Isa
121,Yeshayahu
122,Is.
123,Isaiah
124,Yirmiyahu
125,Jer
126,Jer.
127,Yirmiyohu
128,Jerem.
129,Yermiyahu
130,Yirmeyahu
131,Jeremiah
132,Ezek
133,Ezek.
134,Yehezkel
135,Yechezkel
136,Ez.
137,Yechezkiel
138,Ezekiel
139,Hos.
140,Hos
141,Hoshea
142,Hosea
143,Yoel
144,Joel
145,Am.
146,Amos
147,Ovadiah
148,Ob.
149,Oba.
150,Ovadyah
151,Ovadia
152,Ovadya
153,Obadiah
154,Yonah
155,Jon.
156,Jon
157,Jonah
158,Mic.
159,Mic
160,Mikha
161,Michah
162,Micha
163,Micah
164,Nah.
165,Nah
166,Nachum
167,Nahum
168,Hab.
169,Hab
170,Havakkuk
171,Habakuk
172,Habbakuk
173,Chavakuk
174,Habakkuk
175,Zeph.
176,Tzephaniah
